Category,Product,Price
Milk Tea,Signature Milk Tea,5.9
Milk Tea,Pearl Milk Tea,6.9
Milk Tea,Coconut Jelly Milk Tea,6.9
Milk Tea,Grass Jelly Milk Tea,6.9
Milk Tea,Pudding Milk Tea,6.9
Milk Tea,Oreo Milk Tea,6.9
Milk Tea,Taro Milk Tea,6.9
Milk Tea,Chocolate Milk Tea,7.9
Milk Tea,Peppermint Milk Tea,7.9
Green Tea,Green Tea Macchiato,7.9
Green Tea,Honey Green Tea,6.9
Green Tea,Honey Lemon Green Tea,6.9
Green Tea,Lemon Kumquat Green tea,6.9
Green Tea,Mango Green Tea,6.9
Green Tea,Pineapple Green Tea,6.9
Green Tea,Strawberry Green Tea,6.9
Green Tea,Passionfruit Green Tea,6.9
Green Tea,Peach Green Tea,6.9
Green Tea,Lychee Green Tea,6.9
Oolong Tea,Honey Oolong,6.9
Oolong Tea,Lemon Oolong,6.9
Oolong Tea,Lemon Peach Oolong,6.9
Oolong Tea,Peach Oolong,6.9
Oolong Tea,Mango Oolong,6.9
Oolong Tea,Pineapple Oolong,6.9
Oolong Tea,Passionfruit Oolong,6.9
Oolong Tea,Strawberry Oolong,6.9
Oolong Tea,Oolong Tea Macchiato,7.9
Oolong Tea,Lychee Oolong,6.9
Brown Sugar Pearl Series,Brown Sugar Pearl Milk Tea,7.9
Brown Sugar Pearl Series,Brown Sugar Pearl Fresh Milk,9.9
Smoothie,Lychee Smoothie,7.9
Smoothie,Mango Smoothie,7.9
Smoothie,Passionfruit Smoothie,7.9
Smoothie,Pineapple Smoothie,7.9
Smoothie,Strawberry Smoothie,7.9
Smoothie,Peach Smoothie,7.9
Ice Blended,Blue Ice,8.9
Ice Blended,Chocolate Ice Blended,8.9
Ice Blended,Caramel Coffee Ice Blended,8.9
Ice Blended,Mocha Ice Blended,8.9
Ice Blended,Green Tea Latte Ice Blended,8.9
Ice Blended,Oreo Ice Blended,8.9
Sparkling Series,Lychee Pineapple Sparkling,6.9
Sparkling Series,Mango Passionfruit Spaerkling,6.9
Sparkling Series,Mango Peach Sparkling,6.9
Sparkling Series,Strawberry Lemonade Sparkling,6.9
Sparkling Series,Mix Flavours Sparkling,6.9
