Product,Variant Item,Price
Signature Milk Tea,1,5.9
Signature Milk Tea,2,6.9
Pearl Milk Tea,1,6.9
Pearl Milk Tea,2,7.9
Coconut Jelly Milk Tea,1,6.9
Coconut Jelly Milk Tea,2,7.9
Grass Jelly Milk Tea,1,6.9
Grass Jelly Milk Tea,2,7.9
Pudding Milk Tea,1,6.9
Pudding Milk Tea,2,7.9
Oreo Milk Tea,1,6.9
Oreo Milk Tea,2,7.9
Taro Milk Tea,1,6.9
Taro Milk Tea,2,7.9
Chocolate Milk Tea,1,7.9
Chocolate Milk Tea,2,8.9
Peppermint Milk Tea,1,7.9
Peppermint Milk Tea,2,8.9
Green Tea Macchiato,1,7.9
Green Tea Macchiato,2,8.9
Honey Green Tea,1,6.9
Honey Green Tea,2,7.9
Honey Lemon Green Tea,1,6.9
Honey Lemon Green Tea,2,7.9
Lemon Kumquat Green tea,1,6.9
Lemon Kumquat Green tea,2,7.9
Mango Green Tea,1,6.9
Mango Green Tea,2,7.9
Pineapple Green Tea,1,6.9
Pineapple Green Tea,2,7.9
Strawberry Green Tea,1,6.9
Strawberry Green Tea,2,7.9
Passionfruit Green Tea,1,6.9
Passionfruit Green Tea,2,7.9
Peach Green Tea,1,6.9
Peach Green Tea,2,7.9
Lychee Green Tea,1,6.9
Lychee Green Tea,2,7.9
Honey Oolong,1,6.9
Honey Oolong,2,7.9
Lemon Oolong,1,6.9
Lemon Oolong,2,7.9
Lemon Peach Oolong,1,6.9
Lemon Peach Oolong,2,7.9
Peach Oolong,1,6.9
Peach Oolong,2,7.9
Mango Oolong,1,6.9
Mango Oolong,2,7.9
Pineapple Oolong,1,6.9
Pineapple Oolong,2,7.9
Passionfruit Oolong,1,6.9
Passionfruit Oolong,2,7.9
Strawberry Oolong,1,6.9
Strawberry Oolong,2,7.9
Oolong Tea Macchiato,1,7.9
Oolong Tea Macchiato,2,8.9
Lychee Oolong,1,6.9
Lychee Oolong,2,7.9
Brown Sugar Pearl Milk Tea,1,7.9
Brown Sugar Pearl Milk Tea,2,8.9
Brown Sugar Pearl Fresh Milk,1,9.9
Brown Sugar Pearl Fresh Milk,2,10.9
Lychee Pineapple Sparkling,1,6.9
Lychee Pineapple Sparkling,2,7.9
Mango Passionfruit Sparkling,1,6.9
Mango Passionfruit Sparkling,2,7.9
Mango Peach Sparkling,1,6.9
Mango Peach Sparkling,2,7.9
Strawberry Lemonade Sparkling,1,6.9
Strawberry Lemonade Sparkling,2,7.9
Mix Flavours Sparkling,1,6.9
Mix Flavours Sparkling,2,7.9
